tx,minter,tokenId,tokenUri
0xa7398615d40acc0793245a98b84a1d70641de4fd35173c395050e7cf837e3829,0x1805707Dd1874C4147BEA492AcE0543b9e7b4dBA,79,ipfs://QmR1NaP7RTYNTP6rsrd2wFWxEuUkUL2GMcmyej7MJsshA7
0xe7d965e5ccbdde487c5095c93db38ebd8d7c53ce71efa49364f673731a5206db,0xf1b38f6f03b603B7bBd67263805414052a9104a7,80,ipfs://QmUF8RHWee7CGQ9Lf9GGvwc8rSQGvczuKH1dj7eCyVVofK
0xc56f2f7085ad78b91f40732dc4da3b419504915359adf94c6c293b83edaccc08,0x4b0B9B732814c501eD3480aa4bea96b1e719550E,81,ipfs://QmXVasMnGjsmihs9sjJKrmjYEWTrfi8DcYKtCy42ZkZvSx
0x730878bd61ad33e97d793eae0ca28e26c0c9a58d7b0d1da77ecec1772e82f112,0x1138E94cfa05744C7c00AAf9FB86dF9D8b39Ef14,82,ipfs://QmTjns4hPMraG5TQPw6Y2A42y3fun29z6w72DMJJAAL7M9
0x73d481f83cb74f58488948cc6dcbabef9b2882b2a8fe194b664c4928e2085e22,0x7FFF49a7931883303d8f8CEC9fb4c60F4dE75306,83,ipfs://QmVcj1fZhpk8h9MxcPcE6wFvaJmGnpp3dPatyEALJwbTUu
0xf95ce4508a949f24ff75765ea17bef43c3c2457c38250a23a46acf2c0fe540db,0x9B741aE8474172F4C3F019f41Cbb515151145fa8,84,ipfs://QmeYKjmZhwV3mJWC1J2yUbFDWxo3WjdRmAc7G7Rh3o423b
0xbd15bed610ea1605f3b68990088877942038a96a3aeaccd1ae0ea1ea37dc7174,0x00000000001b00B15f85Ce4ed62381510c4ec86f,85,ipfs://QmWvn65az2Xd7bXYSk7UdFgPq41rALggMsLxzt3ApY6eqA
0x7155097b5cf13e6e77c9fd9655c7a5af0497dc18a54d70008333d3768059710b,0x41C7164970B70e9D6A22cB20c5Cb40AB378206DA,86,ipfs://QmZgnbssqNRwRKL12fk55s9bTBSE1QrzDMiMX7QWWU9ZGr
0xa2dc50ebf347e6d9a1f96cba16a15b501db121ff1831c675ed7d238906a7121c,0xD88dcCccD6E1c614614e21183c97e5391718d929,87,ipfs://QmYstXyY9tdoPXn8QxGvoZgPwmzGaGduR1Zf2Poix8f5Qr
0x293b8045e9ceb375b0707577b0f65a7704b2f95fafb2d8278a89865b0fe9c9fe,0x719C8d75FAF8f1b117EA56205414892CAAb4A1b7,88,ipfs://QmPbETmk2vzziD8EuR6GR6tvnSiYrAZqB5wvgaMq9bihjw
